Word;Frequency;Rank;Logarithm of Frequency;Logarithm of rank
публика;15;175;1.1760912590556811;2.2430380486862944
нравиться;15;176;1.1760912590556811;2.2455126678141495
играть;15;177;1.1760912590556811;2.2479732663618064
четверо;15;178;1.1760912590556811;2.2504200023088936
тургенев;15;179;1.1760912590556811;2.252853030979893
случай;15;180;1.1760912590556811;2.255272505103306
неделя;15;181;1.1760912590556811;2.2576785748691846
дом;15;182;1.1760912590556811;2.2600713879850747
любить;15;183;1.1760912590556811;2.2624510897304293
минин;15;184;1.1760912590556811;2.2648178230095364
совершенно;14;185;1.1461280356782377;2.2671717284030133
девушка;14;186;1.1461280356782377;2.2695129442179165
пьяный;14;187;1.1461280356782377;2.271841606536499
прямо;14;188;1.1461280356782377;2.2741578492636796
подъезд;14;189;1.1461280356782377;2.276461804173244
тяжёлый;14;190;1.1461280356782377;2.278753600952829
пункт;14;191;1.1461280356782377;2.281033367247727
семь;14;192;1.1461280356782377;2.2833012287035492
третий;14;193;1.1461280356782377;2.2855573090077734
лежать;14;194;1.1461280356782377;2.287801729930226
чтоть;14;195;1.1461280356782377;2.290034611362518
ладный;14;196;1.1461280356782377;2.2922560713564755
малый;14;197;1.1461280356782377;2.294466226161593
одинокий;14;198;1.1461280356782377;2.296665190261531
завтра;14;199;1.1461280356782377;2.2988530764097064
рассмеяться;14;200;1.1461280356782377;2.301029995663981
лицо;14;201;1.1461280356782377;2.3031960574204886
откуда;14;202;1.1461280356782377;2.305351369446624
допустить;14;203;1.1461280356782377;2.3074960379132126
плакать;14;204;1.1461280356782377;2.3096301674258983
гёте;14;205;1.1461280356782377;2.311753861055754
тьма;14;206;1.1461280356782377;2.3138672203691533
молотый;13;207;1.1139433523068367;2.3159703454569174
второй;13;208;1.1139433523068367;2.3180633349627615
тихонов;13;209;1.1139433523068367;2.320146286111054
вчера;13;210;1.1139433523068367;2.322219294733919
вечером;13;211;1.1139433523068367;2.3242824552976926
начать;13;212;1.1139433523068367;2.326335860928751
небесный;13;213;1.1139433523068367;2.3283796034387376
оставить;13;214;1.1139433523068367;2.3304137733491905
мгновение;13;215;1.1139433523068367;2.332438459915605
сибирь;13;216;1.1139433523068367;2.3344537511509307
вместе;13;217;1.1139433523068367;2.3364597338485296
ровно;13;218;1.1139433523068367;2.3384564936046046
окошко;13;219;1.1139433523068367;2.340444114840118
вообще;13;220;1.1139433523068367;2.342422680822206
молчать;13;221;1.1139433523068367;2.34439227368511
двое;13;222;1.1139433523068367;2.3463529744506384
именно;13;223;1.1139433523068367;2.3483048630481607
оставаться;13;224;1.1139433523068367;2.3502480183341623
прекрасный;13;225;1.1139433523068367;2.3521825181113623
двенадцать;13;226;1.1139433523068367;2.3541084391474008
внучек;13;227;1.1139433523068367;2.3560258571931225
написать;13;228;1.1139433523068367;2.3579348470004535
пленум;13;229;1.1139433523068367;2.359835482339888
попасть;12;230;1.0791812460476247;2.3617278360175926
сесть;12;231;1.0791812460476247;2.363611979892144
шесть;12;232;1.0791812460476247;2.3654879848908994
выходить;12;233;1.0791812460476247;2.3673559210260184
направо;12;234;1.0791812460476247;2.3692158574101425
тихо;12;235;1.0791812460476247;2.371067862271736
голос;12;236;1.0791812460476247;2.3729120029701067
хах;12;237;1.0791812460476247;2.374748346010104
есиный;12;238;1.0791812460476247;2.376576957056512
российский;12;239;1.0791812460476247;2.3783979009481375
странно;12;240;1.0791812460476247;2.380211241711606
страх;12;241;1.0791812460476247;2.382017042574868
петушинский;12;242;1.0791812460476247;2.383815365980431
месяц;12;243;1.0791812460476247;2.3856062735983117
смех;12;244;1.0791812460476247;2.387389826338729
мальчик;12;245;1.0791812460476247;2.3891660843645326
ум;12;246;1.0791812460476247;2.390935107103379
сделать;12;247;1.0791812460476247;2.392696953259666
черта;12;248;1.0791812460476247;2.394451680826216
дедушка;12;249;1.0791812460476247;2.396199347095736
вера;12;250;1.0791812460476247;2.397940008672037
пожарский;12;251;1.0791812460476247;2.3996737214810375
проснуться;11;252;1.041392685158225;2.4014005407815437
иметь;11;253;1.041392685158225;2.4031205211758175
ктоть;11;254;1.041392685158225;2.404833716619938
гостинец;11;255;1.041392685158225;2.4065401804339546
купить;11;256;1.041392685158225;2.408239965311849
верить;11;257;1.041392685158225;2.4099331233312946
сила;11;258;1.041392685158225;2.41161970596323
волос;11;259;1.041392685158225;2.4132997640812515
рупь;11;260;1.041392685158225;2.4149733479708178
тамбур;11;261;1.041392685158225;2.416640507338281
назад;11;262;1.041392685158225;2.4183012913197452
выше;11;263;1.041392685158225;2.4199557484897576
объяснить;11;264;1.041392685158225;2.421603926869831
начинать;11;265;1.041392685158225;2.4232458739368075
поехать;11;266;1.041392685158225;2.4248816366310666
давно;11;267;1.041392685158225;2.426511261364575
пустить;11;268;1.041392685158225;2.4281347940287885
доехать;11;269;1.041392685158225;2.4297522800024076
смочь;11;270;1.041392685158225;2.4313637641589874
ночь;11;271;1.041392685158225;2.4329692908744054
последний;11;272;1.041392685158225;2.4345689040341987
сфинкс;11;273;1.041392685158225;2.436162647040756
следовать;10;274;1.0;2.437750562820388
кремль;10;275;1.0;2.4393326938302624
слышать;10;276;1.0;2.4409090820652173
конец;10;277;1.0;2.442479769064448
высокий;10;278;1.0;2.4440447959180758
холод;10;279;1.0;2.4456042032735974
правда;10;280;1.0;2.447158031342219
никак;10;281;1.0;2.4487063199050794
вспомнить;10;282;1.0;2.450249108319361
царица;10;283;1.0;2.45178643552429
рассматривать;10;284;1.0;2.4533183400470375
похмелие;10;285;1.0;2.45484486000851
небо;10;286;1.0;2.4563660331290427
остановиться;10;287;1.0;2.4578818967339924
четвёртый;10;288;1.0;2.4593924877592306
остановка;10;289;1.0;2.4608978427565478
розовый;10;290;1.0;2.4623979978989556
заметить;10;291;1.0;2.4638929889859074
площадка;10;292;1.0;2.465382851448418
маленький;10;293;1.0;2.4668676203541096
друг;10;294;1.0;2.468347330412157
оказаться;10;295;1.0;2.469822015978163
короче;10;296;1.0;2.4712917110589383
попробовать;10;297;1.0;2.4727564493172123
немножко;10;298;1.0;2.4742162640762553
лавочка;10;299;1.0;2.4756711883244296
левый;10;300;1.0;2.477121254719662
эрдеть;10;301;1.0;2.478566495593843
слушать;10;302;1.0;2.4800069429571505
спасть;10;303;1.0;2.481442628502305
покров;10;304;1.0;2.4828735836087534
счёт;9;305;0.9542425094393249;2.484299839346786
имя;9;306;0.9542425094393249;2.4857214264815797
площадь;9;307;0.9542425094393249;2.487138375477186
тяжело;9;308;0.9542425094393249;2.488550716500444
девять;9;309;0.9542425094393249;2.4899584794248346
успеть;9;310;0.9542425094393249;2.4913616938342726
тайна;9;311;0.9542425094393249;2.492760389026837
мало;9;312;0.9542425094393249;2.4941545940184424
страшно;9;313;0.9542425094393249;2.4955443375464483
русский;9;314;0.9542425094393249;2.4969296480732144
совесть;9;315;0.9542425094393249;2.4983105537896004
всеобщий;9;316;0.9542425094393249;2.4996870826184034
стоять;9;317;0.9542425094393249;2.501059262217751
вопрос;9;318;0.9542425094393249;2.5024271199844326
бутылка;9;319;0.9542425094393249;2.503790683057181
девятый;9;320;0.9542425094393249;2.505149978319906
бывать;9;321;0.9542425094393249;2.506505032404872
чегонибудь;9;322;0.9542425094393249;2.507855871695831
итак;9;323;0.9542425094393249;2.5092025223311025
дух;9;324;0.9542425094393249;2.5105450102066116
взгляд;9;325;0.9542425094393249;2.511883360978874
снять;9;326;0.9542425094393249;2.513217600067939
простой;9;327;0.9542425094393249;2.514547752660286
сик;9;328;0.9542425094393249;2.515873843711679
спать;9;329;0.9542425094393249;2.517195897949974
палец;9;330;0.9542425094393249;2.518513939877887
туман;9;331;0.9542425094393249;2.5198279937757184
лилия;9;332;0.9542425094393249;2.521138083704036
чёрный;9;333;0.9542425094393249;2.5224442335063197
линия;9;334;0.9542425094393249;2.5237464668115646
стол;9;335;0.9542425094393249;2.5250448070368448
перестать;9;336;0.9542425094393249;2.5263392773898437
вздор;9;337;0.9542425094393249;2.5276299008713385
рассудок;9;338;0.9542425094393249;2.5289167002776547
забыть;9;339;0.9542425094393249;2.5301996982030817
жасмина;9;340;0.9542425094393249;2.531478917042255
младенец;9;341;0.9542425094393249;2.5327543789924976
контролёр;9;342;0.9542425094393249;2.5340261060561344
остаток;9;343;0.9542425094393249;2.53529412004277
горький;9;344;0.9542425094393249;2.53655844257153
княгиня;9;345;0.9542425094393249;2.537819095073274
заплакать;9;346;0.9542425094393249;2.5390760987927767
вадить;9;347;0.9542425094393249;2.5403294747908736
просыпаться;9;348;0.9542425094393249;2.5415792439465807
коктейль;9;349;0.9542425094393249;2.5428254269591797
комсомолка;9;350;0.9542425094393249;2.5440680443502752
клава;9;351;0.9542425094393249;2.545307116465824
налить;9;352;0.9542425094393249;2.5465426634781307
сквозь;9;353;0.9542425094393249;2.5477747053878224
уходить;9;354;0.9542425094393249;2.5490032620257876
дулов;9;355;0.9542425094393249;2.5502283530550938
зуб;9;356;0.9542425094393249;2.551449997972875
негр;9;357;0.9542425094393249;2.5526682161121927
норвегия;9;358;0.9542425094393249;2.553883026643874
немедленно;8;359;0.9030899869919434;2.555094448578319
любимый;8;360;0.9030899869919434;2.5563025007672873
степень;8;361;0.9030899869919434;2.5575072019056577
поэтому;8;362;0.9030899869919434;2.558708570533166
назвать;8;363;0.9030899869919434;2.559906625036112
туда;8;364;0.9030899869919434;2.5611013836490555
оно;8;365;0.9030899869919434;2.5622928644564746
тосковать;8;366;0.9030899869919434;2.56348108539441
мама;8;367;0.9030899869919434;2.5646660642520893
тошнить;8;368;0.9030899869919434;2.5658478186735176
немой;8;369;0.9030899869919434;2.56702636615906
петь;8;370;0.9030899869919434;2.5682017240669945
ооо;8;371;0.9030899869919434;2.5693739096150456
интересно;8;372;0.9030899869919434;2.5705429398818973
живой;8;373;0.9030899869919434;2.5717088318086874
пожалуйста;8;374;0.9030899869919434;2.57287160220048
станция;8;375;0.9030899869919434;2.5740312677277184
зато;8;376;0.9030899869919434;2.575187844927661
восторг;8;377;0.9030899869919434;2.5763413502057926
вернуться;8;378;0.9030899869919434;2.577491799837225
войти;8;379;0.9030899869919434;2.578639209968072
прекрасно;8;380;0.9030899869919434;2.57978359661681
больший;8;381;0.9030899869919434;2.580924975675619
вечно;8;382;0.9030899869919434;2.5820633629117085
вермут;8;383;0.9030899869919434;2.5831987739686224
бить;8;384;0.9030899869919434;2.5843312243675305
даян;8;385;0.9030899869919434;2.5854607295085006
приходить;8;386;0.9030899869919434;2.5865873046717547
подходить;8;387;0.9030899869919434;2.5877109650189114
вино;8;388;0.9030899869919434;2.5888317255942073
история;8;389;0.9030899869919434;2.5899496013257073
буква;8;390;0.9030899869919434;2.591064607026499
пройти;8;391;0.9030899869919434;2.5921767573958667
встретить;8;392;0.9030899869919434;2.5932860670204567
оттого;8;393;0.9030899869919434;2.5943925503754266
бояться;8;394;0.9030899869919434;2.5954962218255737
тревога;8;395;0.9030899869919434;2.59659709562646
найти;8;396;0.9030899869919434;2.597695185925512
ребёнок;8;397;0.9030899869919434;2.598790506763115
улыбаться;8;398;0.9030899869919434;2.5998830720736876
правый;8;399;0.9030899869919434;2.600972895686748
нега;8;400;0.9030899869919434;2.602059991327962
максим;8;401;0.9030899869919434;2.603144372620182
кричать;8;402;0.9030899869919434;2.60422605308447
хлеб;8;403;0.9030899869919434;2.605305046141109
бокал;8;404;0.9030899869919434;2.6063813651106047
храпуново;8;405;0.9030899869919434;2.6074550232146683
ус;8;406;0.9030899869919434;2.608526033577194
тайный;8;407;0.9030899869919434;2.6095944092252195
советник;8;408;0.9030899869919434;2.6106601630898796
уйти;8;409;0.9030899869919434;2.611723308007342
огонь;8;410;0.9030899869919434;2.6127838567197355
штат;8;411;0.9030899869919434;2.613841821876069
президент;8;412;0.9030899869919434;2.6148972160331345
василёк;8;413;0.9030899869919434;2.615950051656401
чистый;7;414;0.8450980400142567;2.6170003411208986
причина;7;415;0.8450980400142567;2.6180480967120925
начало;7;416;0.8450980400142567;2.6190933306267423
горлышко;7;417;0.8450980400142567;2.620136054973757
рассвет;7;418;0.8450980400142567;2.621176281775035
ветер;7;419;0.8450980400142567;2.622214022966295
захотеть;7;420;0.8450980400142567;2.6232492903979003
бросить;7;421;0.8450980400142567;2.624282095835668
лёгкий;7;422;0.8450980400142567;2.625312450961674
ресторан;7;423;0.8450980400142567;2.626340367375042
останавливаться;7;424;0.8450980400142567;2.6273658565927325
скорее;7;425;0.8450980400142567;2.6283889300503116
отчаяние;7;426;0.8450980400142567;2.629409599102719
какойтый;7;427;0.8450980400142567;2.6304278750250236
похмелиться;7;428;0.8450980400142567;2.631443769013172
показать;7;429;0.8450980400142567;2.632457292184724
еда;7;430;0.8450980400142567;2.633468455579586
следом;7;431;0.8450980400142567;2.634477270160731
бытие;7;432;0.8450980400142567;2.635483746814912
далее;7;433;0.8450980400142567;2.636487896353365
повторять;7;434;0.8450980400142567;2.6374897295125104
точно;7;435;0.8450980400142567;2.638489256954637
красный;7;436;0.8450980400142567;2.639486489268586
стошнить;7;437;0.8450980400142567;2.6404814369704215
деньга;7;438;0.8450980400142567;2.6414741105040993
портвейн;7;439;0.8450980400142567;2.6424645202421213
причём;7;440;0.8450980400142567;2.643452676486187
считать;7;441;0.8450980400142567;2.644438589467838
плохо;7;442;0.8450980400142567;2.6454222693490914
взамен;7;443;0.8450980400142567;2.6464037262230695
синий;7;444;0.8450980400142567;2.6473829701146196
горло;7;445;0.8450980400142567;2.648360010980931
пальто;7;446;0.8450980400142567;2.649334858712142
принять;7;447;0.8450980400142567;2.650307523131936
сознание;7;448;0.8450980400142567;2.6512780139981436
ореховозуево;7;449;0.8450980400142567;2.6522463410033232
пятый;7;450;0.8450980400142567;2.6532125137753435
ребята;7;451;0.8450980400142567;2.6541765418779604
смерть;7;452;0.8450980400142567;2.655138434811382
право;7;453;0.8450980400142567;2.656098202012832
дама;7;454;0.8450980400142567;2.6570558528571038
рассказывать;7;455;0.8450980400142567;2.658011396657112
свежесть;7;456;0.8450980400142567;2.658964842664435
будить;7;457;0.8450980400142567;2.65991620006985
шестой;7;458;0.8450980400142567;2.660865478003869
пол;7;459;0.8450980400142567;2.661812685537261
звезда;7;460;0.8450980400142567;2.662757831681574
подыматься;7;461;0.8450980400142567;2.663700925389648
опустить;7;462;0.8450980400142567;2.6646419755561253
ю;7;463;0.8450980400142567;2.665580991017953
мозг;7;464;0.8450980400142567;2.6665179805548807
умный;7;465;0.8450980400142567;2.6674529528899535
вид;7;466;0.8450980400142567;2.6683859166899997
случаться;7;467;0.8450980400142567;2.669316880566112
глупый;7;468;0.8450980400142567;2.6702458530741238
щека;7;469;0.8450980400142567;2.671172842715083
разбавлять;7;470;0.8450980400142567;2.672097857935717
седьмой;7;471;0.8450980400142567;2.6730209071288957
рожа;7;472;0.8450980400142567;2.6739419986340875
ноздря;7;473;0.8450980400142567;2.674861140737811
курить;7;474;0.8450980400142567;2.675778341674085
николай;7;475;0.8450980400142567;2.6766936096248664
морда;7;476;0.8450980400142567;2.677606952720493
заставить;7;477;0.8450980400142567;2.678518379040114
честной;7;478;0.8450980400142567;2.6794278966121188
дрожать;7;479;0.8450980400142567;2.6803355134145628
взглянуть;7;480;0.8450980400142567;2.681241237375587
ханаанский;7;481;0.8450980400142567;2.6821450763738315
бальзам;7;482;0.8450980400142567;2.683047038238849
россия;7;483;0.8450980400142567;2.6839471307515117
странный;7;484;0.8450980400142567;2.6848453616444123
твёрдый;7;485;0.8450980400142567;2.6857417386022635
готовый;7;486;0.8450980400142567;2.686636269262293
украсть;7;487;0.8450980400142567;2.687528961214634
жакетка;7;488;0.8450980400142567;2.6884198220027105
рот;7;489;0.8450980400142567;2.6893088591236203
компот;7;490;0.8450980400142567;2.6901960800285134
тихонько;7;491;0.8450980400142567;2.691081492122968
прервать;7;492;0.8450980400142567;2.69196510276736
книжка;7;493;0.8450980400142567;2.6928469192772297
главное;7;494;0.8450980400142567;2.6937269489236466
иоганн;7;495;0.8450980400142567;2.6946051989335684
фон;7;496;0.8450980400142567;2.695481676490197
остальной;7;497;0.8450980400142567;2.696356388733332
разрешить;7;498;0.8450980400142567;2.697229342759717
сдача;7;499;0.8450980400142567;2.6981005456233897
гроб;7;500;0.8450980400142567;2.6989700043360183
ольга;7;501;0.8450980400142567;2.6998377258672455
учиться;7;502;0.8450980400142567;2.700703717145019
детишки;7;503;0.8450980400142567;2.7015679850559273
де;7;504;0.8450980400142567;2.702430536445525
открывать;7;505;0.8450980400142567;2.7032913781186614
ревизор;7;506;0.8450980400142567;2.704150516839799
тезис;7;507;0.8450980400142567;2.705007959333336
темно;7;508;0.8450980400142567;2.705863712283919
спина;7;509;0.8450980400142567;2.7067177823367583
ход;7;510;0.8450980400142567;2.707570176097936
митридата;7;511;0.8450980400142567;2.7084209001347124
благо;6;512;0.7781512503836435;2.7092699609758304
глава;6;513;0.7781512503836435;2.710117365111816
карачарово;6;514;0.7781512503836435;2.7109631189952754
единый;6;515;0.7781512503836435;2.7118072290411908
необходимый;6;516;0.7781512503836435;2.7126497016272113
подряд;6;517;0.7781512503836435;2.7134905430939424
напиться;6;518;0.7781512503836435;2.7143297597452327
вокруг;6;519;0.7781512503836435;2.7151673578484576
кориандровый;6;520;0.7781512503836435;2.716003343634799
знакомый;6;521;0.7781512503836435;2.716837723299524
член;6;522;0.7781512503836435;2.717670503002262
случиться;6;523;0.7781512503836435;2.718501688867274
добавить;6;524;0.7781512503836435;2.7193312869837265
улица;6;525;0.7781512503836435;2.7201593034059566
чехов;6;526;0.7781512503836435;2.720985744153739
охотничий;6;527;0.7781512503836435;2.7218106152125463
центр;6;528;0.7781512503836435;2.722633922533812
обидно;6;529;0.7781512503836435;2.7234556720351857
